Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   4.000   3.454042E+03   -1.149482E+03   -1.3312E+00
   4.200   3.239496E+03   -1.001391E+03   -1.2983E+00
   4.400   3.051664E+03   -8.807352E+02   -1.2699E+00
   4.600   2.885812E+03   -7.809618E+02   -1.2449E+00
   4.800   2.738194E+03   -6.974716E+02   -1.2227E+00
   5.000   2.605992E+03   -6.264600E+02   -1.2020E+00
   5.200   2.486927E+03   -5.656657E+02   -1.1828E+00
   5.400   2.379179E+03   -5.130867E+02   -1.1645E+00
   5.600   2.281219E+03   -4.675851E+02   -1.1478E+00
   5.800   2.191775E+03   -4.277052E+02   -1.1318E+00
   6.000   2.109817E+03   -3.926217E+02   -1.1166E+00
   6.500   1.932067E+03   -3.218522E+02   -1.0828E+00
   7.000   1.785078E+03   -2.686092E+02   -1.0533E+00
   7.500   1.661405E+03   -2.277236E+02   -1.0280E+00
   8.000   1.555889E+03   -1.956485E+02   -1.0060E+00
   8.500   1.464671E+03   -1.701081E+02   -9.8720E-01
   9.000   1.384980E+03   -1.493818E+02   -9.7073E-01
   9.500   1.314671E+03   -1.323711E+02   -9.5653E-01
  10.000   1.252135E+03   -1.182117E+02   -9.4408E-01
  10.500   1.196083E+03   -1.063149E+02   -9.3330E-01
  11.000   1.145523E+03   -9.620254E+01   -9.2379E-01
  11.500   1.099638E+03   -8.754324E+01   -9.1553E-01
  12.000   1.057784E+03   -8.005720E+01   -9.0821E-01
  12.500   1.019418E+03   -7.354680E+01   -9.0182E-01
  13.000   9.841034E+02   -6.783920E+01   -8.9616E-01
  13.500   9.514658E+02   -6.281133E+01   -8.9121E-01
  14.000   9.211974E+02   -5.835172E+01   -8.8681E-01
  14.500   8.930325E+02   -5.438053E+01   -8.8297E-01
  15.000   8.667479E+02   -5.082357E+01   -8.7956E-01
  15.500   8.421489E+02   -4.762663E+01   -8.7658E-01
  16.000   8.190697E+02   -4.473919E+01   -8.7395E-01
  16.500   7.973643E+02   -4.212341E+01   -8.7167E-01
  17.000   7.769069E+02   -3.974382E+01   -8.6966E-01
  17.500   7.575857E+02   -3.757320E+01   -8.6793E-01
  18.000   7.393032E+02   -3.558594E+01   -8.6642E-01
  18.500   7.219724E+02   -3.376253E+01   -8.6514E-01
  19.000   7.055164E+02   -3.208463E+01   -8.6406E-01
  19.500   6.898662E+02   -3.053606E+01   -8.6314E-01
  20.000   6.749613E+02   -2.910169E+01   -8.6232E-01
  21.000   6.471703E+02   -2.654734E+01   -8.6143E-01
  22.000   6.217540E+02   -2.432726E+01   -8.6079E-01
  23.000   5.984372E+02   -2.234681E+01   -8.5886E-01
  24.000   5.769628E+02   -2.065091E+01   -8.5902E-01
  25.000   5.570507E+02   -1.919967E+01   -8.6167E-01
  26.000   5.385224E+02   -1.787647E+01   -8.6308E-01
  27.000   5.212544E+02   -1.668200E+01   -8.6410E-01
  28.000   5.051160E+02   -1.561366E+01   -8.6551E-01
  29.000   4.899938E+02   -1.464628E+01   -8.6683E-01
  30.000   4.757939E+02   -1.376736E+01   -8.6807E-01
  31.000   4.624328E+02   -1.296735E+01   -8.6929E-01
  32.000   4.498362E+02   -1.223649E+01   -8.7047E-01
  33.000   4.379393E+02   -1.156710E+01   -8.7161E-01
  34.000   4.266840E+02   -1.095201E+01   -8.7270E-01
  35.000   4.160193E+02   -1.038490E+01   -8.7369E-01
  36.000   4.058994E+02   -9.862150E+00   -8.7469E-01
  37.000   3.962820E+02   -9.378645E+00   -8.7566E-01
  38.000   3.871305E+02   -8.929894E+00   -8.7654E-01
  39.000   3.784114E+02   -8.513462E+00   -8.7742E-01
  40.000   3.700939E+02   -8.125963E+00   -8.7826E-01
  42.000   3.545570E+02   -7.427147E+00   -8.7980E-01
  44.000   3.403269E+02   -6.816128E+00   -8.8124E-01
  46.000   3.272432E+02   -6.278847E+00   -8.8261E-01
  48.000   3.151706E+02   -5.803363E+00   -8.8384E-01
  50.000   3.039942E+02   -5.381211E+00   -8.8508E-01
  52.000   2.936158E+02   -5.003967E+00   -8.8621E-01
  54.000   2.839525E+02   -4.665463E+00   -8.8724E-01
  56.000   2.749309E+02   -4.361447E+00   -8.8837E-01
  58.000   2.664876E+02   -4.086333E+00   -8.8937E-01
  60.000   2.585683E+02   -3.837101E+00   -8.9039E-01
  65.000   2.407583E+02   -3.307026E+00   -8.9283E-01
  70.000   2.253240E+02   -2.881651E+00   -8.9522E-01
  75.000   2.118110E+02   -2.534930E+00   -8.9759E-01
  77.350   2.060222E+02   -2.393711E+00   -8.9871E-01
  80.000   1.998745E+02   -2.248483E+00   -8.9996E-01
  85.000   1.892481E+02   -2.008988E+00   -9.0233E-01
  90.000   1.797227E+02   -1.806683E+00   -9.0474E-01
  95.000   1.711320E+02   -1.634001E+00   -9.0708E-01
 100.000   1.633416E+02   -1.486006E+00   -9.0975E-01
 105.000   1.562392E+02   -1.357690E+00   -9.1243E-01
 110.000   1.497392E+02   -1.244712E+00   -9.1438E-01
 115.000   1.437692E+02   -1.145478E+00   -9.1626E-01
 120.000   1.382637E+02   -1.058629E+00   -9.1879E-01
 125.000   1.331663E+02   -9.817152E-01   -9.2151E-01
 130.000   1.284335E+02   -9.126655E-01   -9.2380E-01
 135.000   1.240282E+02   -8.505209E-01   -9.2576E-01
 140.000   1.199182E+02   -7.944461E-01   -9.2749E-01
 145.000   1.160749E+02   -7.436535E-01   -9.2897E-01
 150.000   1.124740E+02   -6.974527E-01   -9.3015E-01
 155.000   1.090936E+02   -6.553198E-01   -9.3108E-01
 160.000   1.059148E+02   -6.167904E-01   -9.3175E-01
 165.000   1.029204E+02   -5.814695E-01   -9.3220E-01
 170.000   1.000953E+02   -5.490040E-01   -9.3242E-01
 175.000   9.742607E+01   -5.190987E-01   -9.3242E-01
 180.000   9.490052E+01   -4.914882E-01   -9.3222E-01
 185.000   9.250774E+01   -4.659463E-01   -9.3181E-01
 190.000   9.023795E+01   -4.422677E-01   -9.3121E-01
 195.000   8.808225E+01   -4.202780E-01   -9.3043E-01
 200.000   8.603262E+01   -3.998170E-01   -9.2945E-01
 205.000   8.408176E+01   -3.807484E-01   -9.2830E-01
 210.000   8.222303E+01   -3.629461E-01   -9.2697E-01
 215.000   8.045036E+01   -3.463023E-01   -9.2548E-01
 220.000   7.875824E+01   -3.307169E-01   -9.2381E-01
 225.000   7.714157E+01   -3.161039E-01   -9.2198E-01
 230.000   7.559572E+01   -3.023829E-01   -9.2000E-01
 235.000   7.411637E+01   -2.894846E-01   -9.1787E-01
 240.000   7.269961E+01   -2.773441E-01   -9.1558E-01
 245.000   7.134176E+01   -2.659051E-01   -9.1316E-01
 250.000   7.003948E+01   -2.551145E-01   -9.1061E-01
 255.000   6.878962E+01   -2.449259E-01   -9.0793E-01
 260.000   6.758929E+01   -2.352959E-01   -9.0513E-01
 265.000   6.643579E+01   -2.261862E-01   -9.0221E-01
 270.000   6.532662E+01   -2.175604E-01   -8.9919E-01
 273.150   6.464954E+01   -2.123606E-01   -8.9724E-01
 275.000   6.425943E+01   -2.093867E-01   -8.9608E-01
 280.000   6.323205E+01   -2.016347E-01   -8.9287E-01
 285.000   6.224243E+01   -1.942776E-01   -8.8957E-01
 290.000   6.128866E+01   -1.872897E-01   -8.8620E-01
 295.000   6.036895E+01   -1.806483E-01   -8.8276E-01
 300.000   5.948163E+01   -1.743318E-01   -8.7926E-01
 305.000   5.862512E+01   -1.683205E-01   -8.7570E-01
 310.000   5.779795E+01   -1.625959E-01   -8.7208E-01
 315.000   5.699871E+01   -1.571417E-01   -8.6843E-01
 320.000   5.622611E+01   -1.519415E-01   -8.6475E-01
 325.000   5.547890E+01   -1.469807E-01   -8.6103E-01
