Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   4.000   3.191293E+03   -1.018442E+03   -1.2765E+00
   4.200   3.000799E+03   -8.909531E+02   -1.2470E+00
   4.400   2.833399E+03   -7.862445E+02   -1.2210E+00
   4.600   2.685131E+03   -6.991105E+02   -1.1977E+00
   4.800   2.552831E+03   -6.258252E+02   -1.1767E+00
   5.000   2.434086E+03   -5.632898E+02   -1.1571E+00
   5.200   2.326925E+03   -5.095997E+02   -1.1388E+00
   5.400   2.229770E+03   -4.630601E+02   -1.1214E+00
   5.600   2.141287E+03   -4.227017E+02   -1.1055E+00
   5.800   2.060365E+03   -3.872674E+02   -1.0902E+00
   6.000   1.986099E+03   -3.560468E+02   -1.0756E+00
   6.500   1.824622E+03   -2.929210E+02   -1.0435E+00
   7.000   1.690629E+03   -2.452739E+02   -1.0155E+00
   7.500   1.577530E+03   -2.085769E+02   -9.9163E-01
   8.000   1.480751E+03   -1.797057E+02   -9.7089E-01
   8.500   1.396857E+03   -1.566563E+02   -9.5327E-01
   9.000   1.323379E+03   -1.379029E+02   -9.3785E-01
   9.500   1.258401E+03   -1.224749E+02   -9.2460E-01
  10.000   1.200479E+03   -1.096032E+02   -9.1300E-01
  10.500   1.148459E+03   -9.876536E+01   -9.0298E-01
  11.000   1.101446E+03   -8.953432E+01   -8.9417E-01
  11.500   1.058706E+03   -8.161445E+01   -8.8652E-01
  12.000   1.019655E+03   -7.475509E+01   -8.7977E-01
  12.500   9.838035E+02   -6.877969E+01   -8.7390E-01
  13.000   9.507541E+02   -6.353235E+01   -8.6870E-01
  13.500   9.201680E+02   -5.890293E+01   -8.6418E-01
  14.000   8.917650E+02   -5.479071E+01   -8.6017E-01
  14.500   8.653030E+02   -5.112366E+01   -8.5669E-01
  15.000   8.405784E+02   -4.783481E+01   -8.5361E-01
  15.500   8.174133E+02   -4.487509E+01   -8.5093E-01
  16.000   7.956561E+02   -4.219865E+01   -8.4858E-01
  16.500   7.751730E+02   -3.977124E+01   -8.4655E-01
  17.000   7.558487E+02   -3.756058E+01   -8.4479E-01
  17.500   7.375804E+02   -3.554187E+01   -8.4327E-01
  18.000   7.202788E+02   -3.369182E+01   -8.4197E-01
  18.500   7.038635E+02   -3.199266E+01   -8.4088E-01
  19.000   6.882638E+02   -3.042765E+01   -8.3998E-01
  19.500   6.734159E+02   -2.898191E+01   -8.3922E-01
  20.000   6.592643E+02   -2.764158E+01   -8.3856E-01
  21.000   6.328485E+02   -2.525198E+01   -8.3794E-01
  22.000   6.086560E+02   -2.317167E+01   -8.3754E-01
  23.000   5.864329E+02   -2.131233E+01   -8.3587E-01
  24.000   5.659383E+02   -1.972370E+01   -8.3643E-01
  25.000   5.469049E+02   -1.836698E+01   -8.3959E-01
  26.000   5.291682E+02   -1.712348E+01   -8.4134E-01
  27.000   5.126179E+02   -1.599836E+01   -8.4265E-01
  28.000   4.971316E+02   -1.499198E+01   -8.4440E-01
  29.000   4.826031E+02   -1.407941E+01   -8.4604E-01
  30.000   4.689453E+02   -1.324908E+01   -8.4759E-01
  31.000   4.560804E+02   -1.249243E+01   -8.4912E-01
  32.000   4.439390E+02   -1.180035E+01   -8.5059E-01
  33.000   4.324606E+02   -1.116571E+01   -8.5203E-01
  34.000   4.215907E+02   -1.058186E+01   -8.5339E-01
  35.000   4.112819E+02   -1.004295E+01   -8.5465E-01
  36.000   4.014909E+02   -9.545634E+00   -8.5592E-01
  37.000   3.921783E+02   -9.085174E+00   -8.5714E-01
  38.000   3.833097E+02   -8.657373E+00   -8.5826E-01
  39.000   3.748535E+02   -8.259981E+00   -8.5937E-01
  40.000   3.667807E+02   -7.889843E+00   -8.6044E-01
  42.000   3.516846E+02   -7.221432E+00   -8.6242E-01
  44.000   3.378397E+02   -6.635989E+00   -8.6427E-01
  46.000   3.250940E+02   -6.120367E+00   -8.6602E-01
  48.000   3.133194E+02   -5.663368E+00   -8.6762E-01
  50.000   3.024068E+02   -5.257058E+00   -8.6920E-01
  52.000   2.922627E+02   -4.893495E+00   -8.7066E-01
  54.000   2.828082E+02   -4.566870E+00   -8.7201E-01
  56.000   2.739731E+02   -4.273176E+00   -8.7344E-01
  58.000   2.656972E+02   -4.007119E+00   -8.7473E-01
  60.000   2.579281E+02   -3.765847E+00   -8.7602E-01
  65.000   2.404322E+02   -3.251851E+00   -8.7913E-01
  70.000   2.252424E+02   -2.838484E+00   -8.8213E-01
  75.000   2.119214E+02   -2.500903E+00   -8.8508E-01
  77.350   2.062083E+02   -2.363224E+00   -8.8646E-01
  80.000   2.001366E+02   -2.221518E+00   -8.8800E-01
  85.000   1.896306E+02   -1.987558E+00   -8.9090E-01
  90.000   1.802011E+02   -1.789619E+00   -8.9381E-01
  95.000   1.716865E+02   -1.620502E+00   -8.9668E-01
 100.000   1.639565E+02   -1.475129E+00   -8.9971E-01
 105.000   1.569033E+02   -1.348950E+00   -9.0272E-01
 110.000   1.504410E+02   -1.238376E+00   -9.0548E-01
 115.000   1.444972E+02   -1.141171E+00   -9.0822E-01
 120.000   1.390102E+02   -1.055417E+00   -9.1108E-01
 125.000   1.339272E+02   -9.791672E-01   -9.1390E-01
 130.000   1.292055E+02   -9.107684E-01   -9.1637E-01
 135.000   1.248082E+02   -8.492082E-01   -9.1855E-01
 140.000   1.207035E+02   -7.936079E-01   -9.2048E-01
 145.000   1.168634E+02   -7.432155E-01   -9.2216E-01
 150.000   1.132637E+02   -6.973711E-01   -9.2356E-01
 155.000   1.098830E+02   -6.555508E-01   -9.2471E-01
 160.000   1.067023E+02   -6.172908E-01   -9.2563E-01
 165.000   1.037048E+02   -5.822011E-01   -9.2631E-01
 170.000   1.008756E+02   -5.499331E-01   -9.2677E-01
 175.000   9.820125E+01   -5.201954E-01   -9.2702E-01
 180.000   9.566986E+01   -4.927244E-01   -9.2705E-01
 185.000   9.327060E+01   -4.672975E-01   -9.2687E-01
 190.000   9.099382E+01   -4.437122E-01   -9.2649E-01
 195.000   8.883070E+01   -4.217963E-01   -9.2592E-01
 200.000   8.677334E+01   -4.013925E-01   -9.2515E-01
 205.000   8.481448E+01   -3.823663E-01   -9.2419E-01
 210.000   8.294758E+01   -3.645938E-01   -9.2305E-01
 215.000   8.116663E+01   -3.479691E-01   -9.2173E-01
 220.000   7.946614E+01   -3.323936E-01   -9.2022E-01
 225.000   7.784108E+01   -3.177827E-01   -9.1855E-01
 230.000   7.628684E+01   -3.040574E-01   -9.1671E-01
 235.000   7.479915E+01   -2.911494E-01   -9.1472E-01
 240.000   7.337409E+01   -2.789949E-01   -9.1257E-01
 245.000   7.200804E+01   -2.675382E-01   -9.1027E-01
 250.000   7.069763E+01   -2.567273E-01   -9.0784E-01
 255.000   6.943976E+01   -2.465162E-01   -9.0527E-01
 260.000   6.823154E+01   -2.368620E-01   -9.0258E-01
 265.000   6.707028E+01   -2.277268E-01   -8.9977E-01
 270.000   6.595347E+01   -2.190749E-01   -8.9685E-01
 273.150   6.527165E+01   -2.138583E-01   -8.9496E-01
 275.000   6.487878E+01   -2.108745E-01   -8.9383E-01
 280.000   6.384402E+01   -2.030955E-01   -8.9071E-01
 285.000   6.284716E+01   -1.957114E-01   -8.8751E-01
 290.000   6.188629E+01   -1.886967E-01   -8.8424E-01
 295.000   6.095962E+01   -1.820287E-01   -8.8089E-01
 300.000   6.006546E+01   -1.756860E-01   -8.7747E-01
 305.000   5.920225E+01   -1.696491E-01   -8.7400E-01
 310.000   5.836850E+01   -1.638992E-01   -8.7048E-01
 315.000   5.756281E+01   -1.584204E-01   -8.6692E-01
 320.000   5.678387E+01   -1.531962E-01   -8.6332E-01
 325.000   5.603044E+01   -1.482121E-01   -8.5969E-01
