#JINF 	 TDR 	 S (mm) 	 K (mm) 	 Z (mm) 	 MultiplicyFlip
0      0        38.5376         3.96828         0       0
0      15       38.5            4.0             40      0 
0      11       31.2997         -0.0945417      350     0
0      1        30.9868         19.2507         390     0
0      10       35.2517         -8.53012        710     0
0      12       42.6498         39.9635         750     0
0      13       42.8699         43.3455        1090     0
