#
#
#
#
#
#
#
#
#
#
0	0	440.899		3.268
0	1	761.650		1.555
0	2	717.221		1.439
0	3	730.394		1.566
0	4	676.032		1.803
0	5	602.065		1.593
0	6	472.655		1.351
0	7	530.443		1.396
0	8	678.910		1.362
0	9	623.262		1.657
0	10	565.845		2.052
0	11	573.919		1.641
0	12	565.437		0.617
0	13	597.196		1.343
0	14	560.395		1.396
0	15	571.833		2.494
0	16	624.404		1.511
0	17	534.283		2.558
0	18	628.039		1.575
0	19	699.292		1.892
0	20	442.971		10.710
0	21	423.549		4.733
0	22	258.602		6.460
0	23	726.821		2.150
0	24	542.240		1.931
1	0	541.010		3.306
1	1	390.095		4.152
1	2	709.361		1.760
1	3	440.680		1.659
1	4	643.816		1.870
1	5	470.395		1.905
1	6	467.127		1.429
1	7	455.260		1.782
1	8	635.991		1.322
1	9	587.119		1.483
1	10	594.471		1.976
1	11	406.986		3.516
1	12	436.600		1.286
1	13	462.899		1.825
1	14	495.649		1.336
1	15	480.093		1.823
1	16	403.854		1.922
1	17	406.129		1.711
1	18	604.193		1.438
1	19	626.055		1.534
1	20	351.976		4.198
1	21	458.273		8.560
1	22	564.694		4.522
1	23	338.286		10.447
1	24	402.795		7.194
2	0	577.082		2.753
2	1	642.813		1.821
2	2	409.934		2.208
2	3	496.441		1.317
2	4	643.405		1.474
2	5	474.600		1.441
2	6	524.931		1.463
2	7	474.721		1.243
2	8	230.971		5.937
2	9	670.617		1.331
2	10	436.633		1.662
2	11	677.451		1.227
2	12	459.575		0.592
2	13	562.103		1.401
2	14	647.906		1.238
2	15	463.290		1.777
2	16	539.598		2.850
2	17	413.612		1.595
2	18	402.244		2.624
2	19	440.716		3.344
2	20	507.137		12.106
2	21	598.479		2.511
2	22	502.666		3.580
2	23	398.413		12.900
2	24	405.362		1.926
3	0	473.132		8.501
3	1	628.931		1.828
3	2	673.557		2.807
3	3	557.130		1.574
3	4	693.131		1.477
3	5	580.947		1.750
3	6	612.106		1.270
3	7	431.867		1.964
3	8	471.859		1.490
3	9	414.646		1.370
3	10	517.944		1.858
3	11	545.516		1.429
3	12	602.924		0.708
3	13	655.621		1.732
3	14	396.855		2.481
3	15	470.435		2.066
3	16	528.590		1.571
3	17	614.561		1.351
3	18	448.094		2.126
3	19	520.270		1.433
3	20	574.257		9.967
3	21	609.291		7.820
3	22	482.759		7.014
3	23	440.091		2.121
3	24	421.918		2.597
4	0	417.781		4.414
4	1	463.498		1.662
4	2	413.798		2.844
4	3	602.223		1.796
4	4	458.204		1.839
4	5	552.260		1.652
4	6	586.146		1.268
4	7	595.666		1.275
4	8	403.280		1.301
4	9	693.323		1.562
4	10	621.110		1.859
4	11	541.748		1.822
4	12	708.180		0.559
4	13	424.269		1.243
4	14	638.560		1.397
4	15	597.450		1.577
4	16	498.603		3.421
4	17	434.668		1.963
4	18	467.191		1.743
4	19	561.273		2.939
4	20	648.199		5.894
4	21	483.987		11.130
4	22	439.195		3.551
4	23	369.023		10.224
4	24	700.014		2.159
5	0	448.423		3.711
5	1	676.870		1.585
5	2	519.229		1.709
5	3	579.813		2.180
5	4	463.083		2.303
5	5	561.120		1.472
5	6	538.484		1.958
5	7	578.091		1.261
5	8	551.423		1.280
5	9	428.343		2.464
5	10	641.214		1.879
5	11	544.703		2.597
5	12	623.716		0.791
5	13	493.600		2.723
5	14	629.022		1.740
5	15	621.417		1.752
5	16	629.923		1.380
