#JINF 	 TDR 	 S (mm) 	 K (mm) 	 Z (mm) 	 MultiplicyFlip
 0 	2 	 0 	 0 	 -150 	 0
 0 	3 	 0 	 0 	 -150 	 0
 0 	6 	 0 	 0 	 -120 	 0
 0 	7 	 0 	 0 	 -120 	 0
 0 	10 	 0 	 0 	 -90 	 0
 0 	11 	 0 	 0 	 -90 	 0
 0 	14 	 0 	 0 	 -60 	 0
 0 	15 	 0 	 0 	 -60 	 0
 0 	18 	 0 	 0 	 -30 	 0
 0 	19 	 0 	 0 	 -30 	 0
 0 	20 	 -2.72072 	 0 	 43 	 0
 0 	21 	 -2.72072 	 0 	 78 	 1
 0 	22 	 -2.72072 	 0 	 430 	 0
 0 	23 	 -2.72072 	 0 	 466 	 0
