#JINF 	 TDR 	 S (mm) 	 K (mm) 	 Z (mm) 	 MultiplicyFlip
 0 	0 	 -0.000282264 	 -0.00655662 	 0 	 0
 0 	4 	 -0.000282264 	 -0.00655662 	 440 	 0
 0 	8 	 -0.000282264 	 -0.00655662 	 718 	 0
 0 	12 	 -0.000282264 	 -0.00655662 	 748 	 0
 0 	14 	 -0.000282264 	 -0.00655662 	 1283 	 0
