#JINF 	 TDR 	 S (mm) 	 K (mm) 	 Z (mm)		MultiplicyFlip
 0 	0 	 225.0 	 	 225.0		 -299.85 		0
 0 	1 	 225.0		 225.0	 	 -269.85		0
 0 	2 	 225.0		 225.0		 -239.85		0
 0 	3 	 225.0		 225.0		 -209.85		0
 0 	4 	 225.0		 225.0		 -179.85		0
 0 	5 	 225.0		 225.0		 -149.8499		0
 0 	6 	 225.0		 225.0		 -119.8499		0
 0 	7 	 225.0		 225.0		 -89.84999		0
 0 	8 	 225.0		 225.0		 -59.85000		0
 0 	9 	 225.0		 225.0		 -29.84999		0
 0 	10 	 225.0		 225.0		 349.85000		0
 0 	11 	 225.0		 225.0		 449.85000		0
 0 	12 	 225.0		 225.0		 650.14999		0	
 0 	13 	 225.0		 225.0		 750.14999		0	
