Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   4.000   3.489586E+03   -1.162494E+03   -1.3325E+00
   4.200   3.272666E+03   -1.012251E+03   -1.2991E+00
   4.400   3.082826E+03   -8.900189E+02   -1.2703E+00
   4.600   2.915243E+03   -7.890486E+02   -1.2451E+00
   4.800   2.766103E+03   -7.046310E+02   -1.2227E+00
   5.000   2.632548E+03   -6.328546E+02   -1.2020E+00
   5.200   2.512270E+03   -5.714181E+02   -1.1827E+00
   5.400   2.403428E+03   -5.182898E+02   -1.1645E+00
   5.600   2.304475E+03   -4.723198E+02   -1.1478E+00
   5.800   2.214126E+03   -4.320317E+02   -1.1317E+00
   6.000   2.131340E+03   -3.965883E+02   -1.1164E+00
   6.500   1.951797E+03   -3.250896E+02   -1.0826E+00
   7.000   1.803334E+03   -2.712956E+02   -1.0531E+00
   7.500   1.678428E+03   -2.299871E+02   -1.0277E+00
   8.000   1.571867E+03   -1.975791E+02   -1.0056E+00
   8.500   1.479751E+03   -1.717754E+02   -9.8671E-01
   9.000   1.399282E+03   -1.508359E+02   -9.7016E-01
   9.500   1.328291E+03   -1.336514E+02   -9.5588E-01
  10.000   1.265151E+03   -1.193483E+02   -9.4335E-01
  10.500   1.208562E+03   -1.073315E+02   -9.3250E-01
  11.000   1.157519E+03   -9.711804E+01   -9.2292E-01
  11.500   1.111199E+03   -8.837279E+01   -9.1459E-01
  12.000   1.068949E+03   -8.081279E+01   -9.0720E-01
  12.500   1.030222E+03   -7.423884E+01   -9.0076E-01
  13.000   9.945754E+02   -6.847569E+01   -8.9504E-01
  13.500   9.616319E+02   -6.339926E+01   -8.9004E-01
  14.000   9.310805E+02   -5.889687E+01   -8.8559E-01
  14.500   9.026527E+02   -5.488774E+01   -8.8170E-01
  15.000   8.761231E+02   -5.129701E+01   -8.7825E-01
  15.500   8.512950E+02   -4.806987E+01   -8.7523E-01
  16.000   8.280012E+02   -4.515525E+01   -8.7256E-01
  16.500   8.060940E+02   -4.251502E+01   -8.7024E-01
  17.000   7.854464E+02   -4.011320E+01   -8.6820E-01
  17.500   7.659456E+02   -3.792242E+01   -8.6644E-01
  18.000   7.474932E+02   -3.591682E+01   -8.6489E-01
  18.500   7.300012E+02   -3.407657E+01   -8.6358E-01
  19.000   7.133922E+02   -3.238301E+01   -8.6247E-01
  19.500   6.975964E+02   -3.082028E+01   -8.6152E-01
  20.000   6.825526E+02   -2.937355E+01   -8.6070E-01
  21.000   6.545021E+02   -2.679350E+01   -8.5968E-01
  22.000   6.288512E+02   -2.455383E+01   -8.5900E-01
  23.000   6.053091E+02   -2.257253E+01   -8.5769E-01
  24.000   5.836146E+02   -2.086113E+01   -8.5787E-01
  25.000   5.635077E+02   -1.938058E+01   -8.5982E-01
  26.000   5.448070E+02   -1.804287E+01   -8.6107E-01
  27.000   5.273770E+02   -1.683936E+01   -8.6212E-01
  28.000   5.110862E+02   -1.576121E+01   -8.6348E-01
  29.000   4.958207E+02   -1.478568E+01   -8.6480E-01
  30.000   4.814848E+02   -1.389999E+01   -8.6607E-01
  31.000   4.679942E+02   -1.309377E+01   -8.6733E-01
  32.000   4.552741E+02   -1.235721E+01   -8.6856E-01
  33.000   4.432592E+02   -1.168261E+01   -8.6975E-01
  34.000   4.318907E+02   -1.106270E+01   -8.7090E-01
  35.000   4.211177E+02   -1.049106E+01   -8.7193E-01
  36.000   4.108937E+02   -9.964040E+00   -8.7299E-01
  37.000   4.011765E+02   -9.476515E+00   -8.7401E-01
  38.000   3.919290E+02   -9.023952E+00   -8.7493E-01
  39.000   3.831177E+02   -8.603905E+00   -8.7585E-01
  40.000   3.747115E+02   -8.212972E+00   -8.7672E-01
  42.000   3.590071E+02   -7.507783E+00   -8.7833E-01
  44.000   3.446216E+02   -6.890993E+00   -8.7982E-01
  46.000   3.313934E+02   -6.348481E+00   -8.8122E-01
  48.000   3.191863E+02   -5.868246E+00   -8.8248E-01
  50.000   3.078846E+02   -5.441791E+00   -8.8374E-01
  52.000   2.973890E+02   -5.060631E+00   -8.8488E-01
  54.000   2.876160E+02   -4.718570E+00   -8.8591E-01
  56.000   2.784914E+02   -4.411320E+00   -8.8704E-01
  58.000   2.699514E+02   -4.133255E+00   -8.8804E-01
  60.000   2.619410E+02   -3.881337E+00   -8.8906E-01
  65.000   2.439247E+02   -3.345503E+00   -8.9150E-01
  70.000   2.283101E+02   -2.915490E+00   -8.9389E-01
  75.000   2.146377E+02   -2.564986E+00   -8.9627E-01
  77.350   2.087801E+02   -2.422233E+00   -8.9740E-01
  80.000   2.025589E+02   -2.275427E+00   -8.9867E-01
  85.000   1.918044E+02   -2.033344E+00   -9.0110E-01
  90.000   1.821629E+02   -1.828831E+00   -9.0356E-01
  95.000   1.734661E+02   -1.654374E+00   -9.0603E-01
 100.000   1.655783E+02   -1.504490E+00   -9.0863E-01
 105.000   1.583880E+02   -1.374538E+00   -9.1122E-01
 110.000   1.518055E+02   -1.261049E+00   -9.1377E-01
 115.000   1.457545E+02   -1.161370E+00   -9.1632E-01
 120.000   1.401726E+02   -1.073223E+00   -9.1877E-01
 125.000   1.350061E+02   -9.948190E-01   -9.2109E-01
 130.000   1.302107E+02   -9.246371E-01   -9.2314E-01
 135.000   1.257479E+02   -8.615752E-01   -9.2497E-01
 140.000   1.215847E+02   -8.046785E-01   -9.2656E-01
 145.000   1.176921E+02   -7.531696E-01   -9.2793E-01
 150.000   1.140451E+02   -7.063668E-01   -9.2906E-01
 155.000   1.106215E+02   -6.637173E-01   -9.2998E-01
 160.000   1.074019E+02   -6.247322E-01   -9.3068E-01
 165.000   1.043688E+02   -5.890046E-01   -9.3118E-01
 170.000   1.015070E+02   -5.561716E-01   -9.3145E-01
 175.000   9.880274E+01   -5.259302E-01   -9.3153E-01
 180.000   9.624382E+01   -4.980067E-01   -9.3140E-01
 185.000   9.381919E+01   -4.721708E-01   -9.3106E-01
 190.000   9.151898E+01   -4.482140E-01   -9.3052E-01
 195.000   8.933421E+01   -4.259595E-01   -9.2979E-01
 200.000   8.725682E+01   -4.052453E-01   -9.2886E-01
 205.000   8.527942E+01   -3.859340E-01   -9.2773E-01
 210.000   8.339535E+01   -3.678989E-01   -9.2642E-01
 215.000   8.159849E+01   -3.510318E-01   -9.2492E-01
 220.000   7.988326E+01   -3.352321E-01   -9.2324E-01
 225.000   7.824453E+01   -3.204139E-01   -9.2138E-01
 230.000   7.667762E+01   -3.064966E-01   -9.1936E-01
 235.000   7.517818E+01   -2.934108E-01   -9.1718E-01
 240.000   7.374223E+01   -2.810917E-01   -9.1484E-01
 245.000   7.236608E+01   -2.694826E-01   -9.1235E-01
 250.000   7.104631E+01   -2.585305E-01   -9.0973E-01
 255.000   6.977975E+01   -2.481889E-01   -9.0697E-01
 260.000   6.856348E+01   -2.384141E-01   -9.0409E-01
 265.000   6.739473E+01   -2.291675E-01   -9.0110E-01
 270.000   6.627098E+01   -2.204127E-01   -8.9800E-01
 273.150   6.558504E+01   -2.151354E-01   -8.9600E-01
 275.000   6.518984E+01   -2.121174E-01   -8.9481E-01
 280.000   6.414909E+01   -2.042511E-01   -8.9152E-01
 285.000   6.314666E+01   -1.967866E-01   -8.8816E-01
 290.000   6.218060E+01   -1.896979E-01   -8.8472E-01
 295.000   6.124909E+01   -1.829621E-01   -8.8122E-01
 300.000   6.035043E+01   -1.765571E-01   -8.7766E-01
 305.000   5.948300E+01   -1.704631E-01   -8.7405E-01
 310.000   5.864531E+01   -1.646610E-01   -8.7040E-01
 315.000   5.783593E+01   -1.591344E-01   -8.6672E-01
 320.000   5.705354E+01   -1.538665E-01   -8.6300E-01
 325.000   5.629686E+01   -1.488425E-01   -8.5926E-01
