Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   4.000   3.443575E+03   -1.134537E+03   -1.3179E+00
   4.200   3.231661E+03   -9.897951E+02   -1.2864E+00
   4.400   3.045903E+03   -8.714689E+02   -1.2589E+00
   4.600   2.881727E+03   -7.733693E+02   -1.2345E+00
   4.800   2.735499E+03   -6.911094E+02   -1.2127E+00
   5.000   2.604469E+03   -6.210671E+02   -1.1923E+00
   5.200   2.486403E+03   -5.610456E+02   -1.1734E+00
   5.400   2.379513E+03   -5.091020E+02   -1.1553E+00
   5.600   2.282296E+03   -4.641232E+02   -1.1388E+00
   5.800   2.193499E+03   -4.246846E+02   -1.1229E+00
   6.000   2.112107E+03   -3.899777E+02   -1.1078E+00
   6.500   1.935486E+03   -3.199345E+02   -1.0744E+00
   7.000   1.789321E+03   -2.672055E+02   -1.0453E+00
   7.500   1.666253E+03   -2.266897E+02   -1.0204E+00
   8.000   1.561182E+03   -1.948874E+02   -9.9867E-01
   8.500   1.470291E+03   -1.695502E+02   -9.8020E-01
   9.000   1.390839E+03   -1.489770E+02   -9.6402E-01
   9.500   1.320702E+03   -1.320831E+02   -9.5009E-01
  10.000   1.258286E+03   -1.180131E+02   -9.3789E-01
  10.500   1.202316E+03   -1.061857E+02   -9.2734E-01
  11.000   1.151806E+03   -9.612751E+01   -9.1804E-01
  11.500   1.105948E+03   -8.751035E+01   -9.0996E-01
  12.000   1.064102E+03   -8.005743E+01   -9.0282E-01
  12.500   1.025729E+03   -7.357325E+01   -8.9660E-01
  13.000   9.903956E+02   -6.788623E+01   -8.9108E-01
  13.500   9.577302E+02   -6.287459E+01   -8.8627E-01
  14.000   9.274269E+02   -5.842779E+01   -8.8200E-01
  14.500   8.992214E+02   -5.446657E+01   -8.7828E-01
  15.000   8.728917E+02   -5.091742E+01   -8.7498E-01
  15.500   8.482442E+02   -4.772646E+01   -8.7211E-01
  16.000   8.251140E+02   -4.484354E+01   -8.6957E-01
  16.500   8.033555E+02   -4.223116E+01   -8.6738E-01
  17.000   7.828436E+02   -3.985397E+01   -8.6546E-01
  17.500   7.634668E+02   -3.768498E+01   -8.6381E-01
  18.000   7.451282E+02   -3.569878E+01   -8.6237E-01
  18.500   7.277408E+02   -3.387583E+01   -8.6116E-01
  19.000   7.112282E+02   -3.219785E+01   -8.6014E-01
  19.500   6.955214E+02   -3.064903E+01   -8.5929E-01
  20.000   6.805601E+02   -2.921462E+01   -8.5855E-01
  21.000   6.526572E+02   -2.665689E+01   -8.5772E-01
  22.000   6.271334E+02   -2.443482E+01   -8.5718E-01
  23.000   6.037052E+02   -2.246295E+01   -8.5580E-01
  24.000   5.821149E+02   -2.076325E+01   -8.5605E-01
  25.000   5.620984E+02   -1.929721E+01   -8.5827E-01
  26.000   5.434754E+02   -1.796990E+01   -8.5968E-01
  27.000   5.261143E+02   -1.677463E+01   -8.6087E-01
  28.000   5.098844E+02   -1.570393E+01   -8.6237E-01
  29.000   4.946729E+02   -1.473475E+01   -8.6382E-01
  30.000   4.803852E+02   -1.385446E+01   -8.6521E-01
  31.000   4.669377E+02   -1.305297E+01   -8.6659E-01
  32.000   4.542563E+02   -1.232055E+01   -8.6792E-01
  33.000   4.422762E+02   -1.164958E+01   -8.6922E-01
  34.000   4.309391E+02   -1.103286E+01   -8.7046E-01
  35.000   4.201945E+02   -1.046406E+01   -8.7160E-01
  36.000   4.099962E+02   -9.939556E+00   -8.7275E-01
  37.000   4.003023E+02   -9.454273E+00   -8.7386E-01
  38.000   3.910761E+02   -9.003718E+00   -8.7487E-01
  39.000   3.822841E+02   -8.585464E+00   -8.7587E-01
  40.000   3.738955E+02   -8.196140E+00   -8.7684E-01
  42.000   3.582219E+02   -7.493704E+00   -8.7861E-01
  44.000   3.438622E+02   -6.879161E+00   -8.8025E-01
  46.000   3.306558E+02   -6.338485E+00   -8.8179E-01
  48.000   3.184672E+02   -5.859773E+00   -8.8320E-01
  50.000   3.071811E+02   -5.434569E+00   -8.8459E-01
  52.000   2.966989E+02   -5.054454E+00   -8.8585E-01
  54.000   2.869373E+02   -4.713268E+00   -8.8701E-01
  56.000   2.778226E+02   -4.406744E+00   -8.8826E-01
  58.000   2.692911E+02   -4.129294E+00   -8.8937E-01
  60.000   2.612881E+02   -3.877891E+00   -8.9049E-01
  65.000   2.432865E+02   -3.343022E+00   -8.9317E-01
  70.000   2.276825E+02   -2.913644E+00   -8.9579E-01
  75.000   2.140182E+02   -2.563564E+00   -8.9837E-01
  77.350   2.081638E+02   -2.420958E+00   -8.9959E-01
  80.000   2.019458E+02   -2.274285E+00   -9.0095E-01
  85.000   1.911965E+02   -2.032391E+00   -9.0354E-01
  90.000   1.815595E+02   -1.827992E+00   -9.0615E-01
  95.000   1.728666E+02   -1.653649E+00   -9.0877E-01
 100.000   1.649824E+02   -1.503691E+00   -9.1143E-01
 105.000   1.577965E+02   -1.373653E+00   -9.1405E-01
 110.000   1.512179E+02   -1.260428E+00   -9.1687E-01
 115.000   1.451692E+02   -1.161017E+00   -9.1973E-01
 120.000   1.395890E+02   -1.072840E+00   -9.2229E-01
 125.000   1.344248E+02   -9.942987E-01   -9.2459E-01
 130.000   1.296322E+02   -9.240232E-01   -9.2664E-01
 135.000   1.251727E+02   -8.608864E-01   -9.2847E-01
 140.000   1.210131E+02   -8.039137E-01   -9.3005E-01
 145.000   1.171245E+02   -7.523367E-01   -9.3139E-01
 150.000   1.134819E+02   -7.054837E-01   -9.3251E-01
 155.000   1.100628E+02   -6.627975E-01   -9.3341E-01
 160.000   1.068478E+02   -6.237860E-01   -9.3409E-01
 165.000   1.038195E+02   -5.880419E-01   -9.3457E-01
 170.000   1.009625E+02   -5.551999E-01   -9.3484E-01
 175.000   9.826312E+01   -5.249553E-01   -9.3491E-01
 180.000   9.570908E+01   -4.970332E-01   -9.3477E-01
 185.000   9.328931E+01   -4.712023E-01   -9.3443E-01
 190.000   9.099392E+01   -4.472525E-01   -9.3389E-01
 195.000   8.881394E+01   -4.250065E-01   -9.3314E-01
 200.000   8.674129E+01   -4.043017E-01   -9.3220E-01
 205.000   8.476859E+01   -3.849999E-01   -9.3106E-01
 210.000   8.288917E+01   -3.669744E-01   -9.2973E-01
 215.000   8.109690E+01   -3.501164E-01   -9.2821E-01
 220.000   7.938622E+01   -3.343254E-01   -9.2650E-01
 225.000   7.775201E+01   -3.195152E-01   -9.2462E-01
 230.000   7.618957E+01   -3.056053E-01   -9.2256E-01
 235.000   7.469457E+01   -2.925263E-01   -9.2033E-01
 240.000   7.326303E+01   -2.802132E-01   -9.1794E-01
 245.000   7.189126E+01   -2.686095E-01   -9.1540E-01
 250.000   7.057584E+01   -2.576623E-01   -9.1271E-01
 255.000   6.931362E+01   -2.473252E-01   -9.0989E-01
 260.000   6.810165E+01   -2.375544E-01   -9.0694E-01
 265.000   6.693719E+01   -2.283116E-01   -9.0387E-01
 270.000   6.581771E+01   -2.195603E-01   -9.0069E-01
 273.150   6.513445E+01   -2.142852E-01   -8.9863E-01
 275.000   6.474082E+01   -2.112684E-01   -8.9741E-01
 280.000   6.370431E+01   -2.034055E-01   -8.9403E-01
 285.000   6.270610E+01   -1.959442E-01   -8.9057E-01
 290.000   6.174425E+01   -1.888589E-01   -8.8703E-01
 295.000   6.081692E+01   -1.821265E-01   -8.8343E-01
 300.000   5.992243E+01   -1.757251E-01   -8.7976E-01
 305.000   5.905915E+01   -1.696348E-01   -8.7605E-01
 310.000   5.822559E+01   -1.638366E-01   -8.7229E-01
 315.000   5.742033E+01   -1.583141E-01   -8.6849E-01
 320.000   5.664202E+01   -1.530506E-01   -8.6466E-01
 325.000   5.588942E+01   -1.480312E-01   -8.6081E-01
