Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   4.000   3.268627E+03   -1.060472E+03   -1.2978E+00
   4.200   3.070550E+03   -9.252461E+02   -1.2656E+00
   4.400   2.896869E+03   -8.150289E+02   -1.2379E+00
   4.600   2.743274E+03   -7.238142E+02   -1.2137E+00
   4.800   2.606356E+03   -6.474059E+02   -1.1923E+00
   5.000   2.483557E+03   -5.823218E+02   -1.1724E+00
   5.200   2.372807E+03   -5.265194E+02   -1.1539E+00
   5.400   2.272452E+03   -4.781845E+02   -1.1363E+00
   5.600   2.181102E+03   -4.362981E+02   -1.1202E+00
   5.800   2.097596E+03   -3.995369E+02   -1.1047E+00
   6.000   2.020995E+03   -3.671534E+02   -1.0900E+00
   6.500   1.854578E+03   -3.016949E+02   -1.0574E+00
   7.000   1.716652E+03   -2.523172E+02   -1.0289E+00
   7.500   1.600373E+03   -2.143107E+02   -1.0043E+00
   8.000   1.500989E+03   -1.844351E+02   -9.8301E-01
   8.500   1.414933E+03   -1.606053E+02   -9.6481E-01
   9.000   1.339641E+03   -1.412365E+02   -9.4886E-01
   9.500   1.273123E+03   -1.253175E+02   -9.3511E-01
  10.000   1.213882E+03   -1.120497E+02   -9.2307E-01
  10.500   1.160722E+03   -1.008889E+02   -9.1265E-01
  11.000   1.112716E+03   -9.139182E+01   -9.0347E-01
  11.500   1.069105E+03   -8.325084E+01   -8.9550E-01
  12.000   1.029283E+03   -7.620607E+01   -8.8846E-01
  12.500   9.927463E+02   -7.007391E+01   -8.8232E-01
  13.000   9.590840E+02   -6.469307E+01   -8.7689E-01
  13.500   9.279469E+02   -5.994924E+01   -8.7216E-01
  14.000   8.990461E+02   -5.573821E+01   -8.6796E-01
  14.500   8.721322E+02   -5.198542E+01   -8.6431E-01
  15.000   8.469958E+02   -4.862168E+01   -8.6107E-01
  15.500   8.234541E+02   -4.559624E+01   -8.5826E-01
  16.000   8.013511E+02   -4.286185E+01   -8.5579E-01
  16.500   7.805496E+02   -4.038309E+01   -8.5366E-01
  17.000   7.609310E+02   -3.812668E+01   -8.5179E-01
  17.500   7.423900E+02   -3.606718E+01   -8.5019E-01
  18.000   7.248350E+02   -3.418056E+01   -8.4881E-01
  18.500   7.081837E+02   -3.244843E+01   -8.4766E-01
  19.000   6.923637E+02   -3.085354E+01   -8.4669E-01
  19.500   6.773098E+02   -2.938089E+01   -8.4589E-01
  20.000   6.629648E+02   -2.801644E+01   -8.4519E-01
  21.000   6.361964E+02   -2.558298E+01   -8.4446E-01
  22.000   6.116920E+02   -2.346709E+01   -8.4401E-01
  23.000   5.891851E+02   -2.158553E+01   -8.4263E-01
  24.000   5.684325E+02   -1.996329E+01   -8.4288E-01
  25.000   5.491816E+02   -1.856474E+01   -8.4511E-01
  26.000   5.312600E+02   -1.729871E+01   -8.4660E-01
  27.000   5.145422E+02   -1.615801E+01   -8.4787E-01
  28.000   4.989044E+02   -1.513524E+01   -8.4943E-01
  29.000   4.842399E+02   -1.420885E+01   -8.5093E-01
  30.000   4.704585E+02   -1.336692E+01   -8.5238E-01
  31.000   4.574811E+02   -1.259987E+01   -8.5380E-01
  32.000   4.452370E+02   -1.189851E+01   -8.5517E-01
  33.000   4.336646E+02   -1.125563E+01   -8.5650E-01
  34.000   4.227085E+02   -1.066442E+01   -8.5778E-01
  35.000   4.123205E+02   -1.011887E+01   -8.5894E-01
  36.000   4.024567E+02   -9.615558E+00   -8.6012E-01
  37.000   3.930770E+02   -9.149651E+00   -8.6125E-01
  38.000   3.841464E+02   -8.716890E+00   -8.6228E-01
  39.000   3.756329E+02   -8.314983E+00   -8.6330E-01
  40.000   3.675072E+02   -7.940721E+00   -8.6428E-01
  42.000   3.523169E+02   -7.265051E+00   -8.6607E-01
  44.000   3.383910E+02   -6.673479E+00   -8.6773E-01
  46.000   3.255757E+02   -6.152643E+00   -8.6930E-01
  48.000   3.137411E+02   -5.691188E+00   -8.7071E-01
  50.000   3.027767E+02   -5.281058E+00   -8.7210E-01
  52.000   2.925880E+02   -4.914207E+00   -8.7337E-01
  54.000   2.830950E+02   -4.584733E+00   -8.7453E-01
  56.000   2.742268E+02   -4.288580E+00   -8.7577E-01
  58.000   2.659222E+02   -4.020384E+00   -8.7688E-01
  60.000   2.581285E+02   -3.777247E+00   -8.7799E-01
  65.000   2.405853E+02   -3.259574E+00   -8.8065E-01
  70.000   2.253638E+02   -2.843562E+00   -8.8324E-01
  75.000   2.120224E+02   -2.504075E+00   -8.8578E-01
  77.350   2.063028E+02   -2.365687E+00   -8.8698E-01
  80.000   2.002254E+02   -2.223299E+00   -8.8832E-01
  85.000   1.897132E+02   -1.988332E+00   -8.9086E-01
  90.000   1.802818E+02   -1.789649E+00   -8.9343E-01
  95.000   1.717684E+02   -1.620027E+00   -8.9599E-01
 100.000   1.640419E+02   -1.474172E+00   -8.9866E-01
 105.000   1.569945E+02   -1.347636E+00   -9.0132E-01
 110.000   1.505389E+02   -1.237108E+00   -9.0397E-01
 115.000   1.446012E+02   -1.139952E+00   -9.0659E-01
 120.000   1.391209E+02   -1.053894E+00   -9.0905E-01
 125.000   1.340465E+02   -9.772759E-01   -9.1132E-01
 130.000   1.293348E+02   -9.086841E-01   -9.1336E-01
 135.000   1.249481E+02   -8.470356E-01   -9.1518E-01
 140.000   1.208544E+02   -7.913924E-01   -9.1676E-01
 145.000   1.170254E+02   -7.410005E-01   -9.1813E-01
 150.000   1.134368E+02   -6.951984E-01   -9.1928E-01
 155.000   1.100667E+02   -6.534467E-01   -9.2021E-01
 160.000   1.068963E+02   -6.152672E-01   -9.2092E-01
 165.000   1.039087E+02   -5.802639E-01   -9.2142E-01
 170.000   1.010890E+02   -5.480830E-01   -9.2170E-01
 175.000   9.842369E+01   -5.184296E-01   -9.2178E-01
 180.000   9.590093E+01   -4.910370E-01   -9.2165E-01
 185.000   9.350993E+01   -4.656813E-01   -9.2130E-01
 190.000   9.124106E+01   -4.421595E-01   -9.2075E-01
 195.000   8.908556E+01   -4.202997E-01   -9.2000E-01
 200.000   8.703556E+01   -3.999445E-01   -9.1904E-01
 205.000   8.508383E+01   -3.809603E-01   -9.1788E-01
 210.000   8.322387E+01   -3.632240E-01   -9.1653E-01
 215.000   8.144969E+01   -3.466302E-01   -9.1499E-01
 220.000   7.975583E+01   -3.310814E-01   -9.1326E-01
 225.000   7.813727E+01   -3.164938E-01   -9.1136E-01
 230.000   7.658942E+01   -3.027891E-01   -9.0928E-01
 235.000   7.510802E+01   -2.898997E-01   -9.0705E-01
 240.000   7.368917E+01   -2.777625E-01   -9.0465E-01
 245.000   7.232924E+01   -2.663223E-01   -9.0211E-01
 250.000   7.102487E+01   -2.555273E-01   -8.9943E-01
 255.000   6.977296E+01   -2.453323E-01   -8.9662E-01
 260.000   6.857062E+01   -2.356945E-01   -8.9369E-01
 265.000   6.741515E+01   -2.265762E-01   -8.9064E-01
 270.000   6.630405E+01   -2.179419E-01   -8.8749E-01
 273.150   6.562578E+01   -2.127368E-01   -8.8546E-01
 275.000   6.523498E+01   -2.097599E-01   -8.8425E-01
 280.000   6.420575E+01   -2.020003E-01   -8.8092E-01
 285.000   6.321432E+01   -1.946365E-01   -8.7751E-01
 290.000   6.225877E+01   -1.876431E-01   -8.7404E-01
 295.000   6.133731E+01   -1.809973E-01   -8.7050E-01
 300.000   6.044825E+01   -1.746777E-01   -8.6691E-01
 305.000   5.959002E+01   -1.686647E-01   -8.6328E-01
 310.000   5.876112E+01   -1.629396E-01   -8.5960E-01
 315.000   5.796017E+01   -1.574862E-01   -8.5590E-01
 320.000   5.718584E+01   -1.522880E-01   -8.5217E-01
 325.000   5.643689E+01   -1.473304E-01   -8.4842E-01
