#JINF 	 TDR 	 S (mm) 	 K (mm) 	 Z (mm) 	 MultiplicyFlip
 0 	0 	 36.2183 	 23.3258 	 10 	 0
 0 	1 	 36.2183 	 23.3258 	 20 	 0
 0 	2 	 36.2183 	 23.3258 	 30 	 0
 0 	3 	 36.2183 	 23.3258 	 40 	 0
 0 	4 	 27.1269 	 21.7611 	 440 	 0
 0 	8 	 41.1026 	 21.7485 	 718 	 0
 0 	12 	 41.4863 	 25.5643 	 748 	 0
 0 	14 	 31.5085 	 27.4825 	 1283 	 0
